policy_name,policy_description,cost_scenario,transactions,fraud_count,fraud_rate,alerts_sent_to_analyst,analyst_reviewed,review_overflow,precision_flagged,recall_flagged,precision_reviewed,recall_reviewed,fraud_loss_prevented,fraud_loss_realized,false_positive_cost,analyst_cost,net_benefit,fraud_recovery_rate,false_positive_fixed_cost,false_positive_variable_rate,analyst_cost_per_minute
balanced_threshold,"Baseline threshold: review score >=70, simulated hold/step-up score >=90.",base_cost,27720,295,0.010642,884,595,289,0.1233,0.3695,0.1546,0.3119,67525.69,35395.08,5677.74,2157.3,24295.57,0.75,3.0,0.01,0.45
sensitive_threshold,"Lower threshold: review score >=50, designed to improve recall but may increase false positives.",base_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,9382.5,2170.8,20577.31,0.75,3.0,0.01,0.45
strict_threshold,"Higher threshold: review score >=85, designed to reduce workload and false positives.",base_cost,27720,295,0.010642,411,408,3,0.1873,0.261,0.1887,0.261,62517.18,42073.1,2664.75,1652.4,16126.93,0.75,3.0,0.01,0.45
capacity_aware,Capacity-aware queue: candidates score >=50 are ranked by risk score; only daily capacity is reviewed.,base_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,9382.5,2170.8,20577.31,0.75,3.0,0.01,0.45
cost_sensitive,"Cost-sensitive queue: review only when expected review utility is positive, then rank by expected utility.",base_cost,27720,295,0.010642,10105,600,9505,0.0231,0.7898,0.1317,0.2678,77287.9,22378.81,44530.88,1995.3,8382.91,0.75,3.0,0.01,0.45
balanced_threshold,"Baseline threshold: review score >=70, simulated hold/step-up score >=90.",high_false_positive_cost,27720,295,0.010642,884,595,289,0.1233,0.3695,0.1546,0.3119,67525.69,35395.08,11355.48,2157.3,18617.83,0.75,6.0,0.02,0.45
sensitive_threshold,"Lower threshold: review score >=50, designed to improve recall but may increase false positives.",high_false_positive_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,18765.0,2170.8,11194.81,0.75,6.0,0.02,0.45
strict_threshold,"Higher threshold: review score >=85, designed to reduce workload and false positives.",high_false_positive_cost,27720,295,0.010642,411,408,3,0.1873,0.261,0.1887,0.261,62517.18,42073.1,5329.49,1652.4,13462.19,0.75,6.0,0.02,0.45
capacity_aware,Capacity-aware queue: candidates score >=50 are ranked by risk score; only daily capacity is reviewed.,high_false_positive_cost,27720,295,0.010642,1645,600,1045,0.0833,0.4644,0.1533,0.3119,67525.69,35395.08,18765.0,2170.8,11194.81,0.75,6.0,0.02,0.45
cost_sensitive,"Cost-sensitive queue: review only when expected review utility is positive, then rank by expected utility.",high_false_positive_cost,27720,295,0.010642,7646,600,7046,0.0279,0.722,0.1317,0.2678,77287.9,22378.81,71071.66,1998.0,-18160.57,0.75,6.0,0.02,0.45
