scale,architecture,model,cache_ratio,llm_calls,total_tokens,token_cost_usd,cost_per_scenario_usd,break_even_improvement_pct_of_baseline_net_benefit
pilot,rule_based_abm,gpt-4o-mini,0.5,0,0,0.0,0.0,0.0
pilot,hybrid_policy_only,gpt-4o-mini,0.5,45,65250,0.012825,0.004275,5.3e-07
pilot,hybrid_analyst_policy,gpt-4o-mini,0.5,90,144000,0.029362,0.009787,1.21e-06
pilot,full_llm_abm,gpt-4o-mini,0.5,225,416250,0.085219,0.028406,3.51e-06
small_thesis_batch,rule_based_abm,gpt-4o-mini,0.5,0,0,0.0,0.0,0.0
small_thesis_batch,hybrid_policy_only,gpt-4o-mini,0.5,1500,2175000,0.4275,0.004275,1.76e-05
small_thesis_batch,hybrid_analyst_policy,gpt-4o-mini,0.5,3000,4800000,0.97875,0.009787,4.029e-05
small_thesis_batch,full_llm_abm,gpt-4o-mini,0.5,7500,13875000,2.840625,0.028406,0.00011692
medium_thesis_batch,rule_based_abm,gpt-4o-mini,0.5,0,0,0.0,0.0,0.0
medium_thesis_batch,hybrid_policy_only,gpt-4o-mini,0.5,15000,21750000,4.275,0.004275,0.00017596
medium_thesis_batch,hybrid_analyst_policy,gpt-4o-mini,0.5,30000,48000000,9.7875,0.009787,0.00040285
medium_thesis_batch,full_llm_abm,gpt-4o-mini,0.5,75000,138750000,28.40625,0.028406,0.00116919
large_research_batch,rule_based_abm,gpt-4o-mini,0.5,0,0,0.0,0.0,0.0
large_research_batch,hybrid_policy_only,gpt-4o-mini,0.5,150000,217500000,42.75,0.004275,0.00175958
large_research_batch,hybrid_analyst_policy,gpt-4o-mini,0.5,300000,480000000,97.875,0.009787,0.00402851
large_research_batch,full_llm_abm,gpt-4o-mini,0.5,750000,1387500000,284.0625,0.028406,0.01169195
