scale,scenarios,rounds_per_scenario,replications,architecture,model,cache_ratio,llm_calls,input_tokens,output_tokens,total_tokens,token_cost_usd,cost_per_scenario_usd,sequential_latency_minutes,parallel_by_round_latency_minutes,break_even_improvement_usd,break_even_improvement_pct_of_baseline_net_benefit,expected_improvement_low_usd,expected_improvement_mid_usd,expected_improvement_high_usd,net_value_low_usd,net_value_mid_usd,net_value_high_usd
pilot,3,5,3,rule_based_abm,gpt-4o-mini,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,rule_based_abm,gpt-4o-mini,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,rule_based_abm,gpt-4o-mini,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,rule_based_abm,gpt-4o,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,rule_based_abm,gpt-4o,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,rule_based_abm,gpt-4o,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot,3,5,3,hybrid_policy_only,gpt-4o-mini,0.0,45,54000,11250,65250,0.01485,0.00495,0.9,0.9,0.01485,6.1e-07,60.74,242.96,728.87,60.72,242.94,728.85
pilot,3,5,3,hybrid_policy_only,gpt-4o-mini,0.5,45,54000,11250,65250,0.012825,0.004275,0.9,0.9,0.012825,5.3e-07,60.74,242.96,728.87,60.73,242.94,728.85
pilot,3,5,3,hybrid_policy_only,gpt-4o-mini,0.8,45,54000,11250,65250,0.01161,0.00387,0.9,0.9,0.01161,4.8e-07,60.74,242.96,728.87,60.73,242.94,728.86
pilot,3,5,3,hybrid_policy_only,gpt-4o,0.0,45,54000,11250,65250,0.2475,0.0825,2.1,2.1,0.2475,1.019e-05,60.74,242.96,728.87,60.49,242.71,728.62
pilot,3,5,3,hybrid_policy_only,gpt-4o,0.5,45,54000,11250,65250,0.21375,0.07125,2.1,2.1,0.21375,8.8e-06,60.74,242.96,728.87,60.53,242.74,728.65
pilot,3,5,3,hybrid_policy_only,gpt-4o,0.8,45,54000,11250,65250,0.1935,0.0645,2.1,2.1,0.1935,7.96e-06,60.74,242.96,728.87,60.55,242.76,728.67
pilot,3,5,3,hybrid_analyst_policy,gpt-4o-mini,0.0,90,117000,27000,144000,0.03375,0.01125,1.8,0.9,0.03375,1.39e-06,121.48,485.91,1214.78,121.44,485.88,1214.74
pilot,3,5,3,hybrid_analyst_policy,gpt-4o-mini,0.5,90,117000,27000,144000,0.029362,0.009787,1.8,0.9,0.029362,1.21e-06,121.48,485.91,1214.78,121.45,485.88,1214.75
pilot,3,5,3,hybrid_analyst_policy,gpt-4o-mini,0.8,90,117000,27000,144000,0.02673,0.00891,1.8,0.9,0.02673,1.1e-06,121.48,485.91,1214.78,121.45,485.88,1214.75
pilot,3,5,3,hybrid_analyst_policy,gpt-4o,0.0,90,117000,27000,144000,0.5625,0.1875,4.2,2.1,0.5625,2.315e-05,121.48,485.91,1214.78,120.92,485.35,1214.22
pilot,3,5,3,hybrid_analyst_policy,gpt-4o,0.5,90,117000,27000,144000,0.489375,0.163125,4.2,2.1,0.489375,2.014e-05,121.48,485.91,1214.78,120.99,485.42,1214.29
pilot,3,5,3,hybrid_analyst_policy,gpt-4o,0.8,90,117000,27000,144000,0.4455,0.1485,4.2,2.1,0.4455,1.834e-05,121.48,485.91,1214.78,121.03,485.47,1214.33
pilot,3,5,3,full_llm_abm,gpt-4o-mini,0.0,225,337500,78750,416250,0.097875,0.032625,4.5,0.9,0.097875,4.03e-06,121.48,728.87,1700.69,121.38,728.77,1700.59
pilot,3,5,3,full_llm_abm,gpt-4o-mini,0.5,225,337500,78750,416250,0.085219,0.028406,4.5,0.9,0.085219,3.51e-06,121.48,728.87,1700.69,121.39,728.78,1700.6
pilot,3,5,3,full_llm_abm,gpt-4o-mini,0.8,225,337500,78750,416250,0.077625,0.025875,4.5,0.9,0.077625,3.2e-06,121.48,728.87,1700.69,121.4,728.79,1700.61
pilot,3,5,3,full_llm_abm,gpt-4o,0.0,225,337500,78750,416250,1.63125,0.54375,10.5,2.1,1.63125,6.714e-05,121.48,728.87,1700.69,119.85,727.24,1699.06
pilot,3,5,3,full_llm_abm,gpt-4o,0.5,225,337500,78750,416250,1.420313,0.473438,10.5,2.1,1.420313,5.846e-05,121.48,728.87,1700.69,120.06,727.45,1699.27
pilot,3,5,3,full_llm_abm,gpt-4o,0.8,225,337500,78750,416250,1.29375,0.43125,10.5,2.1,1.29375,5.325e-05,121.48,728.87,1700.69,120.18,727.57,1699.4
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o-mini,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o-mini,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o-mini,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,rule_based_abm,gpt-4o,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o-mini,0.0,1500,1800000,375000,2175000,0.495,0.00495,30.0,30.0,0.495,2.037e-05,60.74,242.96,728.87,60.24,242.46,728.37
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o-mini,0.5,1500,1800000,375000,2175000,0.4275,0.004275,30.0,30.0,0.4275,1.76e-05,60.74,242.96,728.87,60.31,242.53,728.44
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o-mini,0.8,1500,1800000,375000,2175000,0.387,0.00387,30.0,30.0,0.387,1.593e-05,60.74,242.96,728.87,60.35,242.57,728.48
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o,0.0,1500,1800000,375000,2175000,8.25,0.0825,70.0,70.0,8.25,0.00033957,60.74,242.96,728.87,52.49,234.71,720.62
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o,0.5,1500,1800000,375000,2175000,7.125,0.07125,70.0,70.0,7.125,0.00029326,60.74,242.96,728.87,53.61,235.83,721.74
small_thesis_batch,100,5,3,hybrid_policy_only,gpt-4o,0.8,1500,1800000,375000,2175000,6.45,0.0645,70.0,70.0,6.45,0.00026548,60.74,242.96,728.87,54.29,236.51,722.42
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o-mini,0.0,3000,3900000,900000,4800000,1.125,0.01125,60.0,30.0,1.125,4.63e-05,121.48,485.91,1214.78,120.35,484.79,1213.65
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o-mini,0.5,3000,3900000,900000,4800000,0.97875,0.009787,60.0,30.0,0.97875,4.029e-05,121.48,485.91,1214.78,120.5,484.93,1213.8
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o-mini,0.8,3000,3900000,900000,4800000,0.891,0.00891,60.0,30.0,0.891,3.667e-05,121.48,485.91,1214.78,120.59,485.02,1213.89
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o,0.0,3000,3900000,900000,4800000,18.75,0.1875,140.0,70.0,18.75,0.00077175,121.48,485.91,1214.78,102.73,467.16,1196.03
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o,0.5,3000,3900000,900000,4800000,16.3125,0.163125,140.0,70.0,16.3125,0.00067142,121.48,485.91,1214.78,105.17,469.6,1198.47
small_thesis_batch,100,5,3,hybrid_analyst_policy,gpt-4o,0.8,3000,3900000,900000,4800000,14.85,0.1485,140.0,70.0,14.85,0.00061122,121.48,485.91,1214.78,106.63,471.06,1199.93
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o-mini,0.0,7500,11250000,2625000,13875000,3.2625,0.032625,150.0,30.0,3.2625,0.00013428,121.48,728.87,1700.69,118.22,725.6,1697.43
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o-mini,0.5,7500,11250000,2625000,13875000,2.840625,0.028406,150.0,30.0,2.840625,0.00011692,121.48,728.87,1700.69,118.64,726.03,1697.85
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o-mini,0.8,7500,11250000,2625000,13875000,2.5875,0.025875,150.0,30.0,2.5875,0.0001065,121.48,728.87,1700.69,118.89,726.28,1698.1
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o,0.0,7500,11250000,2625000,13875000,54.375,0.54375,350.0,70.0,54.375,0.00223806,121.48,728.87,1700.69,67.1,674.49,1646.31
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o,0.5,7500,11250000,2625000,13875000,47.34375,0.473438,350.0,70.0,47.34375,0.00194866,121.48,728.87,1700.69,74.13,681.52,1653.35
small_thesis_batch,100,5,3,full_llm_abm,gpt-4o,0.8,7500,11250000,2625000,13875000,43.125,0.43125,350.0,70.0,43.125,0.00177501,121.48,728.87,1700.69,78.35,685.74,1657.56
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o-mini,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o-mini,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o-mini,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_thesis_batch,1000,5,3,rule_based_abm,gpt-4o,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
